SPN, Date, Formula, Base Rate, Rate, IBB, Accrued Interest, Version, Call Type
81691ACM,12/17/13,D,1.25,1.0,122425.0,1407.89,2013-12-17 19:14:29.204475,*ALL
81694ACM,12/17/13,E,1.25,1.0,2039806.53,21417.97,2013-12-17 19:14:29.204475,*ALL
81696ACM,12/17/13,F,1.25,1.0,-55210.97,0.0,2013-12-17 19:14:29.204475,*ALL
81697ACM,12/17/13,A,1.25,1.0,201237.58,1509.28,2013-12-17 19:14:29.204475,*ALL
81698ACM,12/17/13,B,1.25,1.0,136493.9,1364.94,2013-12-17 19:14:29.204475,*ALL
81699ACM,12/17/13,C,1.25,1.0,3260560.02,37496.44,2013-12-17 19:14:29.204475,*ALL
81701ACM,12/17/13,D,1.25,1.0,992675.0,10423.09,2013-12-17 19:14:29.204475,*ALL
81702ACM,12/17/13,E,1.25,1.0,-1187855.19,0.0,2013-12-17 19:14:29.204475,*ALL
81703ACM,12/17/13,F,1.25,1.0,-355133.03,0.0,2013-12-17 19:14:29.204475,*ALL
81704ACM,12/17/13,A,1.25,1.0,877500.0,8775.0,2013-12-17 19:14:29.204475,*ALL
81708ACM,12/17/13,B,1.25,1.0,-6283.29,0.0,2013-12-17 19:14:29.204475,*ALL
81709ACM,12/17/13,C,1.25,1.0,-269156.19,0.0,2013-12-17 19:14:29.204475,*ALL
81711ACM,12/17/13,D,1.25,1.0,118850.0,1129.08,2013-12-17 19:14:29.204475,*ALL
81712ACM,12/17/13,E,1.25,1.0,-49699.5,0.0,2013-12-17 19:14:29.204475,*ALL
81713ACM,12/17/13,F,1.25,1.0,591331.31,5913.31,2013-12-17 19:14:29.204475,*ALL
81714ACM,12/17/13,A,1.25,1.0,131625.0,1513.69,2013-12-17 19:14:29.204475,*ALL
81716ACM,12/17/13,B,1.25,1.0,24399.65,256.2,2013-12-17 19:14:29.204475,*ALL
81718AC ,12/17/13,C,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
81722ACM,12/17/13,D,1.25,1.0,58181.0,436.36,2013-12-17 19:14:29.204475,*ALL
81723ACM,12/17/13,E,1.25,1.0,-10141.21,0.0,2013-12-17 19:14:29.204475,*ALL
81725ACM,12/17/13,F,1.25,1.0,525768.77,6046.34,2013-12-17 19:14:29.204475,*ALL
81726ACM,12/17/13,A,1.25,1.0,503422.5,5285.94,2013-12-17 19:14:29.204475,*ALL
81728ACM,12/17/13,B,1.25,1.0,295715.1,2809.29,2013-12-17 19:14:29.204475,*ALL
81729ACM,12/17/13,C,1.25,1.0,1460648.42,10954.86,2013-12-17 19:14:29.204475,*ALL
81734ACM,12/17/13,D,1.25,1.0,136250.0,1362.5,2013-12-17 19:14:29.204475,*ALL
81737ACM,12/17/13,E,1.25,1.0,-1000.0,0.0,2013-12-17 19:14:29.204475,*ALL
81766ACM,12/17/13,F,1.25,1.0,-2035936.34,0.0,2013-12-17 19:14:29.204475,*ALL
81767ACM,12/17/13,A,1.25,1.0,331154.86,3145.97,2013-12-17 19:14:29.204475,*ALL
81779ACA,12/17/13,B,1.25,1.0,107300.0,804.75,2013-12-17 19:14:29.204475,*ALL
81787ACA,12/17/13,C,1.25,1.0,1314685.0,13146.85,2013-12-17 19:14:29.204475,*ALL
81793ACA,12/17/13,D,1.25,1.0,18750000.0,215625.0,2013-12-17 19:14:29.204475,*ALL
81794ACM,12/17/13,E,1.25,1.0,-211813.5,0.0,2013-12-17 19:14:29.204475,*ALL
81795ACM,12/17/13,F,1.25,1.0,270298.0,2567.83,2013-12-17 19:14:29.204475,*ALL
81829ACM,12/17/13,A,1.25,1.0,153000.0,1147.5,2013-12-17 19:14:29.204475,*ALL
81834AC ,12/17/13,B,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
81839ACM,12/17/13,C,1.25,1.0,1315299.35,15125.94,2013-12-17 19:14:29.204475,*ALL
81841ACM,12/17/13,D,1.25,1.0,337900.0,3547.95,2013-12-17 19:14:29.204475,*ALL
81843ACM,12/17/13,E,1.25,1.0,-935392.1,0.0,2013-12-17 19:14:29.204475,*ALL
81844ACM,12/17/13,F,1.25,1.0,-2421394.1,0.0,2013-12-17 19:14:29.204475,*ALL
81846AC ,12/17/13,A,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
81847ACM,12/17/13,B,1.25,1.0,11116423.17,127838.87,2013-12-17 19:14:29.204475,*ALL
81851ACM,12/17/13,C,1.25,1.0,608570.2,6389.99,2013-12-17 19:14:29.204475,*ALL
81853ACM,12/17/13,D,1.25,1.0,1130829.0,10742.88,2013-12-17 19:14:29.204475,*ALL
81861ACM,12/17/13,E,1.25,1.0,123628.52,927.21,2013-12-17 19:14:29.204475,*ALL
81864ACM,12/17/13,F,1.25,1.0,-65720.0,0.0,2013-12-17 19:14:29.204475,*ALL
81865ACM,12/17/13,A,1.25,1.0,32224.45,370.58,2013-12-17 19:14:29.204475,*ALL
81873ACM,12/17/13,B,1.25,1.0,-2265.73,0.0,2013-12-17 19:14:29.204475,*ALL
81874ACM,12/17/13,C,1.25,1.0,20094053.3,190893.51,2013-12-17 19:14:29.204475,*ALL
81888ACM,12/17/13,D,1.25,1.0,118000.0,885.0,2013-12-17 19:14:29.204475,*ALL
81889ACM,12/17/13,E,1.25,1.0,-937.8,0.0,2013-12-17 19:14:29.204475,*ALL
81893ACM,12/17/13,F,1.25,1.0,15456.39,177.75,2013-12-17 19:14:29.204475,*ALL
81898ACM,12/17/13,A,1.25,1.0,6491132.97,68156.9,2013-12-17 19:14:29.204475,*ALL
81908ACM,12/17/13,B,1.25,1.0,-4125.0,0.0,2013-12-17 19:14:29.204475,*ALL
81909ACM,12/17/13,C,1.25,1.0,454773.66,3410.8,2013-12-17 19:14:29.204475,*ALL
81911ACM,12/17/13,D,1.25,1.0,151700.0,1517.0,2013-12-17 19:14:29.204475,*ALL
81913AC ,12/17/13,E,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
81915ACM,12/17/13,F,1.25,1.0,371548.0,3901.25,2013-12-17 19:14:29.204475,*ALL
81917ACM,12/17/13,A,1.25,1.0,-30589.8,0.0,2013-12-17 19:14:29.204475,*ALL
81922ACM,12/17/13,B,1.25,1.0,1590.0,11.92,2013-12-17 19:14:29.204475,*ALL
81924ACM,12/17/13,C,1.25,1.0,-18643.2,0.0,2013-12-17 19:14:29.204475,*ALL
81929ACM,12/17/13,D,1.25,1.0,376525.0,4330.04,2013-12-17 19:14:29.204475,*ALL
81944ACA,12/17/13,E,1.25,1.0,5675086.09,59588.4,2013-12-17 19:14:29.204475,*ALL
81946ACA,12/17/13,F,1.25,1.0,-1175156.25,0.0,2013-12-17 19:14:29.204475,*ALL
81947ACM,12/17/13,A,1.25,1.0,174375.0,1307.81,2013-12-17 19:14:29.204475,*ALL
81948ACM,12/17/13,B,1.25,1.0,32681.16,326.81,2013-12-17 19:14:29.204475,*ALL
81968ACM,12/17/13,C,1.25,1.0,-2520558.9,0.0,2013-12-17 19:14:29.204475,*ALL
81969ACM,12/17/13,D,1.25,1.0,1344800.0,14120.4,2013-12-17 19:14:29.204475,*ALL
81975AC ,12/17/13,E,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
81976AC ,12/17/13,F,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
81978AC ,12/17/13,A,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
81992AC ,12/17/13,B,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
81993AC ,12/17/13,C,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
81995AC ,12/17/13,D,1.25,1.0,0.0,0.0,2013-12-17 19:14:29.204475,*ALL
82020ACM,12/17/13,E,1.25,1.0,4417142.57,33128.57,2013-12-17 19:14:29.204475,*ALL
82031ACM,12/17/13,F,1.25,1.0,-97720.52,0.0,2013-12-17 19:14:29.204475,*ALL
82032ACM,12/17/13,A,1.25,1.0,175645.0,2019.92,2013-12-17 19:14:29.204475,*ALL
82072ACM,12/17/13,B,1.25,1.0,770009.09,8085.1,2013-12-17 19:14:29.204475,*ALL
