"12-20-2013","88359ACM","USD",184172.5,322797.95,506970.45,200900,306070.45,,
"12-20-2013","88388ACM","GBP",-1200,491820,490620,492000,-1380,,
"12-20-2013","88394AC ","USD",3186050,618716.75,3804766.75,2265294,1539472.75,,
"12-20-2013","88433ACM","GBP",-5432.5,15702.5,10270,10250,20,,
"12-20-2013","88439ACM","USD",-700,5725,5025,5250,-225,,
"12-20-2013","88457ACM","GBP",-68625,7524619.03,7455994.03,1025000,6430994.03,,
"12-20-2013","88490ACM","USD",46907.04,8284.8,55191.84,45100,10091.84,,
"12-20-2013","88500ACM","GBP",-73061.45,-180626.19,-253687.64,148200,-401887.64,,
"12-20-2013","88519ACM","USD",-5257.72,-1261197.14,-1266454.86,18646,-1285100.86,,
"12-20-2013","88541ACM","GBP",8257.5,19078.74,27336.24,9325,18011.24,,
"12-20-2013","88542ACM","USD",15000,171819.2,186819.2,172000,14819.2,,
"12-20-2013","88543ACM","GBP",-2100000,5851905.3,3751905.3,1890000,1861905.3,,
"12-20-2013","88562ACM","USD",-139277.5,604736.3,465458.8,407100,58358.8,,
"12-20-2013","88619ACM","GBP",122593.41,84547.52,207140.93,123600,83540.93,,
"12-20-2013","88620ACM","USD",-937.5,2588.52,1651.02,1000,651.02,,
"12-20-2013","88621ACM","GBP",273639.57,265729.18,539368.75,311225,228143.75,,
"12-20-2013","88622ACM","USD",-2250,6566.33,4316.33,2500,1816.33,,
"12-20-2013","88625ACM","GBP",-16484.38,45981.33,29496.95,17500,11996.95,,
"12-20-2013","88660ACM","USD",-383750.25,927358.38,543608.13,507500,36108.13,,
"12-20-2013","88664ACM","GBP",-47156.25,127895.04,80738.79,50000,30738.79,,
