"30677AC ","12-20-2013","GBP",-25143.3,-67498.31,-92641.61,61500,-154141.61,,
"30678AC ","12-20-2013","USD",-167622,-400803.25,-568425.25,410000,-978425.25,,
"30679AC ","12-20-2013","GBP",-209527.5,-374415.85,-583943.35,512500,-1096443.35,,
"30682AC ","12-20-2013","USD",50667.5,-6.32,50661.18,36900,13761.18,,
"30702AC ","12-20-2013","GBP",-161160,-72.08,-161232.08,836400,-997632.08,,
"30703AC ","12-20-2013","USD",-191180,-11241.14,-202421.14,992200,-1194621.14,,
"30704AC ","12-20-2013","GBP",-95590,-42.79,-95632.79,496100,-591732.79,,
"30706AC ","12-20-2013","USD",-843475,-2400,-845875,4920000,-5765875,,
"30813AC ","12-20-2013","GBP",-12887.5,106781.9,93894.4,16480,77414.4,,
"30993AC ","12-20-2013","USD",-8537.5,98864.8,90327.3,20500,69827.3,,
"31004AC ","12-20-2013","GBP",-14000,129080,115080,101500,13580,,
"31007AC ","12-20-2013","USD",7417300.92,-3925900.92,3491400,3542000,-50600,,
"31008AC ","12-20-2013","GBP",-1972067.5,16308662.5,14336595,14354100,-17505,,
"31009AC ","12-20-2013","USD",14629.63,6830.37,21460,22300,-840,,
"31026AC ","12-20-2013","GBP",-5050,25510,20460,20300,160,,
"31031AC ","12-20-2013","USD",-1425,22395.48,20970.48,20500,470.48,,
"31061ACM","12-20-2013","GBP",-703294.38,-10297781.55,-11001075.93,3030444.5,-14031520.43,,
"31065ACM","12-20-2013","USD",49462.21,-2071120.69,-2021658.48,291829,-2313487.48,,
"31109AC ","12-20-2013","GBP",-1395,13665,12270,12300,-30,,
"31159AC ","12-20-2013","USD",-1121588.61,1549038.61,427450,448050,-20600,,
"31161ACM","12-20-2013","GBP",485718.75,830026.79,1315745.54,1781750,-466004.46,,
"31208ACM","12-20-2013","USD",328155.15,1760462.17,2088617.32,1977675,110942.32,,
"31223ACM","12-20-2013","GBP",1441637.5,155195,1596832.5,1722776.75,-125944.25,,
"31225ACM","12-20-2013","USD",60499.91,862711.59,923211.5,956141.75,-32930.25,,
"31230ACM","12-20-2013","GBP",-104652.5,542750,438097.5,98400,339697.5,,
"31234ACM","12-20-2013","USD",-31417.75,1608752.07,1577334.32,992754,584580.32,,
"31235ACM","12-20-2013","GBP",-39097.9,244438.55,205340.65,461969,-256628.35,,
"31236ACM","12-20-2013","USD",-44581.29,21883.48,-22697.81,362510,-385207.81,,
"31238ACM","12-20-2013","GBP",32995,102513.79,135508.79,912100,-776591.21,,
"31239ACM","12-20-2013","USD",107017.49,807026.97,914044.46,656250,257794.46,,
